npc_name,npc_class,npc_race,npc_level,npc_alignment,npc_gender,npc_age,npc_height,npc_description
Robby Bealing,Mage,Kenku,1,Lawful Evil,Polygender,92,Short,A mysterious seer with visions of the future
Hanan Valiant,Druid,Firbolg,6,Chaotic Evil,Male,73,Average,A wise sage with ancient knowledge
Aloisia Agge,Thief,Tiefling,4,Lawful Neutral,Female,76,Tall,A wise advisor offering guidance and wisdom
Clemmy Vice,Druid,Goblin,15,Lawful Evil,Male,26,Short,A compassionate caregiver always putting others first
Jedediah Welch,Samurai,Halfling,2,Lawful Neutral,Male,21,Tall,A wise advisor offering guidance and wisdom
Yoko Copestake,Paladin,Tiefling,15,Lawful Evil,Female,37,Average,A charismatic leader with a silver tongue
Elberta Pimme,Shaman,Yuan-Ti,11,Chaotic Evil,Female,95,Tall,A quick-footed acrobat with incredible agility
Mariette Albrighton,Hunter,Gnome,12,Lawful Evil,Female,47,Average,A wise advisor offering guidance and wisdom
Julieta Machent,Ninja,Warforged,4,Lawful Neutral,Female,31,Tall,A mysterious seer with visions of the future
Melinda Klaiser,Warlock,Dragonborn,9,Chaotic Good,Female,85,Average,A fearless protector standing up against injustice
Andonis Rosbrough,Paladin,Triton,9,Neutral Good,Male,39,Short,A wise philosopher pondering the mysteries of life
Gar Ellsworthe,Death Knight,Genasi,14,Lawful Evil,Male,44,Average,A patient teacher passing on their knowledge to others
Rory Morrison,Shaman,Triton,3,Lawful Neutral,Male,26,Tall,A cunning strategist with a mischievous smile
Reese Ungerechts,Paladin,Goblin,11,Chaotic Neutral,Male,12,Short,An enigmatic wanderer seeking knowledge and truth
Leeann Ottley,Demon Hunter,Goliath,13,Neutral Evil,Female,32,Short,A patient teacher passing on their knowledge to others
Hedwig Alans,Alchemist,Gnome,10,Neutral Evil,Female,60,Tall,A gentle soul with a deep connection to nature
Penrod Saulter,Monk,Human,8,Lawful Good,Male,92,Average,A skilled navigator guiding others through treacherous terrain
August Frisch,Bard,Kobold,1,Neutral Good,Male,90,Tall,A skilled navigator guiding others through treacherous terrain
Shaughn Eversfield,Mage,Yuan-Ti,14,Chaotic Good,Genderfluid,49,Average,A mysterious seer with visions of the future
Nollie Simmings,Mage,Orc,3,Chaotic Good,Male,54,Average,A compassionate caregiver always putting others first
Haywood Vosper,Druid,Dwarf,12,Lawful Evil,Male,47,Average,A wise sage with ancient knowledge
Jerad Shimoni,Sorcerer,Human,3,Lawful Good,Male,70,Short,A charismatic performer who lights up any stage
Gwendolyn Hamberstone,Druid,Human,5,Lawful Neutral,Female,65,Tall,A skilled engineer inventing groundbreaking technologies
Heath Basset,Bard,Tortle,6,Chaotic Good,Male,83,Average,A compassionate healer with a gentle touch
Flss Escoffier,Warlock,Goliath,14,Chaotic Good,Female,72,Average,A curious explorer uncovering ancient secrets
Hurley Tweedell,Death Knight,Genasi,4,Lawful Neutral,Male,56,Tall,A free-spirited wanderer with an insatiable wanderlust
Carmita Langlands,Ninja,Gnome,9,True Neutral,Female,90,Tall,A quick-thinking problem solver with a logical mind
Dania Rowan,Ninja,Tiefling,15,Chaotic Evil,Female,17,Short,A skilled craftsman with a talent for creating masterpieces
Pinchas Boniface,Warlock,Warforged,8,Chaotic Good,Male,49,Average,A quick-witted trickster with a clever mind
Auberta Mackie,Necromancer,Tiefling,6,Lawful Neutral,Female,72,Tall,A compassionate healer with a gentle touch
Brnaby Minci,Samurai,Elf,13,Lawful Neutral,Male,46,Tall,A skilled craftsman with a talent for creating masterpieces
Lemmie Rameaux,Priest,Kenku,13,Lawful Evil,Male,91,Average,A quick-thinking problem solver with a logical mind
Aldis Robbeke,Monk,Tortle,15,Chaotic Neutral,Male,18,Tall,A curious explorer uncovering ancient secrets
Friedrich Biever,Alchemist,Orc,2,Chaotic Good,Male,62,Short,A skilled tracker with an uncanny ability to find anything
Elston Micklewright,Paladin,Goliath,5,Lawful Neutral,Male,46,Average,A stoic guardian always ready to protect others
Martita Langlois,Demon Hunter,Kenku,11,Neutral Evil,Female,63,Average,A mysterious seer with visions of the future
Elysee Middlemass,Bard,Yuan-Ti,10,Lawful Good,Female,44,Average,A charismatic diplomat bridging gaps between cultures
Emmalee Southall,Hunter,Elf,12,True Neutral,Agender,17,Average,A brave adventurer with a mysterious past
Brion Garland,Sorcerer,Tortle,9,True Neutral,Male,21,Short,A patient teacher passing on their knowledge to others
Mariel Dax,Samurai,Elf,9,Chaotic Neutral,Female,94,Short,A wise advisor offering guidance and wisdom
Vally Race,Warrior,Kobold,8,Chaotic Evil,Female,16,Average,A skilled archer with unmatched precision
Tricia McEachern,Sorcerer,Dwarf,12,Chaotic Evil,Female,35,Short,A wise sage with ancient knowledge
Jordain Nassie,Mage,Elf,4,Lawful Good,Female,20,Short,A charismatic leader with a silver tongue
Archibold Infante,Alchemist,Elf,12,True Neutral,Male,78,Tall,A talented musician who can captivate any audience
Patsy Sharpe,Mage,Firbolg,3,True Neutral,Male,74,Short,A skilled archer with unmatched precision
Flynn Ormes,Mage,Goblin,14,Lawful Good,Male,80,Short,A talented musician who can captivate any audience
Meredith Twell,Necromancer,Orc,6,True Neutral,Genderfluid,11,Tall,A mysterious seer with visions of the future
Kris Wherrett,Monk,Firbolg,6,Lawful Evil,Male,29,Short,A charismatic storyteller with a captivating voice
Rorie Aliberti,Ninja,Orc,6,Lawful Evil,Female,59,Short,A skilled magician performing awe-inspiring tricks
Kaleena Cobleigh,Death Knight,Tiefling,7,Neutral Evil,Female,52,Short,A resourceful problem solver with a keen eye
Lemuel Parysowna,Hunter,Triton,5,Chaotic Evil,Male,59,Tall,A fearless daredevil who thrives on adrenaline
Joellyn Livingston,Priest,Genasi,6,Lawful Good,Female,43,Average,A mysterious seer with visions of the future
Rosalyn Glowacha,Engineer,Kobold,6,Lawful Evil,Female,23,Short,A fearless explorer of uncharted lands
Willem Ducker,Sorcerer,Goblin,13,Chaotic Good,Male,32,Tall,A fearless explorer of uncharted lands
Pietrek Whinray,Paladin,Genasi,13,Lawful Good,Male,75,Tall,A quick-thinking problem solver with a sharp intellect
Allegra Mansuer,Shaman,Yuan-Ti,14,Neutral Good,Non-binary,49,Tall,A compassionate protector of the weak
Antin Kennard,Shaman,Tiefling,14,Chaotic Evil,Male,42,Tall,A fearless daredevil who thrives on adrenaline
Willard Prinett,Necromancer,Firbolg,13,Lawful Good,Male,12,Short,A compassionate listener always ready to lend an ear
Jonas Ganforth,Priest,Kobold,11,Chaotic Evil,Male,17,Average,A charismatic diplomat bridging gaps between cultures
Shani Jakovijevic,Mage,Goblin,1,Neutral Good,Female,85,Average,A wise mentor guiding others on their path
Louisette Blance,Necromancer,Gnome,4,Chaotic Good,Female,21,Short,A quick-witted trickster with a clever mind
Palm Jeaffreson,Engineer,Halfling,1,Chaotic Good,Agender,28,Tall,A fearless daredevil who thrives on adrenaline
Nelia Noell,Ninja,Dragonborn,6,Lawful Good,Female,73,Short,A skilled diplomat with a knack for negotiation
Leoline Bartalucci,Demon Hunter,Goliath,7,Chaotic Good,Agender,53,Average,A quick-thinking problem solver with a sharp intellect
Hillery Sellek,Monk,Triton,15,Lawful Evil,Male,66,Short,A compassionate healer with a gentle touch
Jule Paolacci,Druid,Yuan-Ti,15,Lawful Evil,Male,66,Average,A mysterious seer with visions of the future
Gib Paler,Warrior,Tiefling,13,Chaotic Evil,Male,28,Tall,A talented musician who can captivate any audience
Christie Yashanov,Warrior,Elf,6,Chaotic Evil,Genderqueer,19,Tall,A gentle soul with a deep connection to nature
Irv Vero,Monk,Tabaxi,9,Lawful Neutral,Male,40,Average,A master of disguise with a talent for blending in
Cindie Stillgoe,Death Knight,Goliath,5,Neutral Good,Polygender,61,Tall,A fearless hunter tracking down dangerous beasts
Malia Arondel,Sorcerer,Goblin,1,Chaotic Evil,Female,34,Average,A quick-witted trickster with a clever mind
Brigham Ugoletti,Demon Hunter,Genasi,1,True Neutral,Male,91,Tall,A fearless warrior always ready for battle
Reggi Brunel,Alchemist,Orc,11,Chaotic Evil,Female,17,Tall,A fearless explorer of uncharted lands
Gussi Pionter,Thief,Kenku,13,Neutral Good,Bigender,90,Short,A fearless daredevil who thrives on adrenaline
Lora McGrann,Bard,Orc,9,Neutral Good,Female,62,Average,A skilled engineer inventing groundbreaking technologies
Moselle Gold,Hunter,Firbolg,3,Chaotic Evil,Female,10,Short,A wise sage with ancient knowledge
Joye Steddall,Alchemist,Tiefling,14,True Neutral,Female,17,Average,A fearless daredevil who thrives on adrenaline
Merill Pannaman,Druid,Tiefling,15,Lawful Good,Agender,74,Tall,A fearless warrior always ready for battle
Broddie Enticknap,Bard,Tortle,9,Chaotic Evil,Male,24,Short,A skilled tracker with an uncanny ability to find anything
Bastien Rait,Paladin,Warforged,3,Lawful Good,Male,39,Average,A skilled engineer inventing groundbreaking technologies
Opaline Jerwood,Thief,Halfling,5,True Neutral,Female,86,Average,A skilled craftsman with a talent for creating masterpieces
Kerry Teas,Druid,Kenku,3,Chaotic Neutral,Non-binary,19,Average,A skilled craftsman with a talent for creating masterpieces
Bernadene Lune,Ninja,Tiefling,11,True Neutral,Female,84,Average,A curious explorer uncovering ancient secrets
Lezlie Payley,Warrior,Aasimar,5,Chaotic Neutral,Female,40,Tall,A charismatic storyteller with a captivating voice
Herbie Swarbrick,Monk,Dragonborn,9,Lawful Good,Male,13,Short,A patient teacher passing on their knowledge to others
Shawn Tabourier,Sorcerer,Goliath,9,Chaotic Neutral,Male,43,Average,A cunning linguist with nimble fingers
Viola Woolaston,Warrior,Firbolg,6,Chaotic Neutral,Female,30,Average,A skilled warrior with a heart of gold
Rutter Kmicicki,Shaman,Dragonborn,10,Neutral Evil,Non-binary,93,Average,A master of disguise with a talent for blending in
Graig Tart,Thief,Tabaxi,6,Chaotic Neutral,Male,73,Average,A quick-thinking problem solver with a sharp intellect
Florance Glason,Paladin,Tortle,4,Lawful Good,Female,64,Tall,A wise mentor guiding others on their path
Nevin Dugdale,Alchemist,Genasi,10,Chaotic Neutral,Male,50,Average,A stoic guardian always ready to protect others
Skipper Ginglell,Paladin,Halfling,13,Neutral Good,Genderfluid,78,Tall,A skilled magician performing awe-inspiring tricks
Connor Machen,Demon Hunter,Goblin,8,Chaotic Evil,Male,81,Short,A brave adventurer with a mysterious past
Opal Driver,Death Knight,Halfling,13,Neutral Evil,Female,34,Average,A cunning linguist with nimble fingers
Gilles Skidmore,Thief,Goliath,13,True Neutral,Male,80,Short,An enigmatic wanderer seeking knowledge and truth
Nelli Costan,Rogue,Triton,7,Chaotic Evil,Female,62,Average,A curious explorer uncovering ancient secrets
Mason Haithwaite,Sorcerer,Kobold,6,True Neutral,Male,79,Tall,A loyal companion who never leaves a friend behind
Ogdan Dufaur,Sorcerer,Goliath,12,Lawful Neutral,Male,31,Short,A fearless protector standing up against injustice
Stavros Matthieson,Demon Hunter,Yuan-Ti,4,True Neutral,Non-binary,95,Tall,A compassionate healer with a gentle touch
Crissie Jobbing,Engineer,Human,8,Lawful Evil,Female,99,Tall,A curious scholar always hungry for new discoveries
Marabel Chippin,Monk,Human,2,Lawful Good,Female,92,Tall,A curious scholar always hungry for new discoveries
Georgette Daid,Sorcerer,Yuan-Ti,1,Lawful Evil,Genderfluid,60,Average,A loyal companion who never leaves a friend behind
Parrnell Alcide,Sorcerer,Dwarf,13,Lawful Good,Polygender,25,Average,A skilled magician performing awe-inspiring tricks
Sella Sands-Allan,Priest,Dwarf,8,Lawful Evil,Female,25,Tall,A wise philosopher pondering the mysteries of life
Avery Stirland,Warlock,Yuan-Ti,11,Chaotic Evil,Male,12,Average,A skilled magician performing awe-inspiring tricks
Darcee Andrewartha,Thief,Kenku,4,Lawful Neutral,Agender,81,Tall,A quick-thinking problem solver with a sharp intellect
Bent Wortley,Thief,Aasimar,12,Lawful Evil,Male,86,Tall,A stoic guardian always ready to protect others
Nara Philp,Bard,Kenku,11,Lawful Evil,Female,93,Tall,A mysterious seer with visions of the future
Sybille Evesque,Rogue,Aasimar,2,Neutral Evil,Female,40,Average,A curious scholar always hungry for new discoveries
Elaina Insoll,Ninja,Elf,14,Chaotic Neutral,Female,82,Short,A cunning strategist with a mischievous smile
Cart Nerne,Alchemist,Warforged,15,Neutral Good,Male,94,Short,A quick-thinking problem solver with a sharp intellect
Son Olexa,Shaman,Goblin,5,Lawful Good,Male,39,Average,A fearless protector standing up against injustice
Farlie Nornable,Samurai,Dwarf,8,Lawful Evil,Male,53,Tall,A cunning detective solving mysteries with ease
Chic Rossbrooke,Thief,Tortle,13,Neutral Good,Male,70,Tall,A quick-thinking problem solver with a logical mind
Fan Burkett,Hunter,Dragonborn,7,Lawful Neutral,Female,42,Average,A wise philosopher pondering the mysteries of life
Abram Kuller,Shaman,Goliath,6,True Neutral,Male,11,Short,A creative artist with a unique vision
Gradey Oriel,Ninja,Warforged,14,Chaotic Good,Male,68,Tall,A fearless explorer of uncharted lands
Roz McSherry,Priest,Genasi,9,True Neutral,Female,91,Short,A compassionate caregiver always putting others first
Ber Redemile,Druid,Triton,13,Chaotic Neutral,Male,46,Average,A fearless warrior always ready for battle
Jeanie Skyppe,Warlock,Goblin,8,Lawful Good,Female,14,Short,A natural-born leader with a commanding presence
Kendal Beadle,Death Knight,Dwarf,1,Chaotic Evil,Male,54,Average,A compassionate protector of the weak
Tymon Routhorn,Ninja,Yuan-Ti,7,Neutral Good,Male,74,Average,A gentle healer mending both body and soul
Charissa Ebbetts,Rogue,Tabaxi,5,Chaotic Evil,Female,12,Average,A talented musician who can captivate any audience
Caleb Cabotto,Paladin,Firbolg,12,Lawful Good,Genderqueer,73,Average,A skilled magician performing awe-inspiring tricks
Camilla Cosley,Mage,Goblin,5,Chaotic Neutral,Female,95,Tall,A quick-witted trickster with a clever mind
Ernestus Wagen,Druid,Yuan-Ti,5,Chaotic Neutral,Male,80,Average,A skilled navigator guiding others through treacherous terrain
Prent Rippin,Shaman,Tiefling,11,Neutral Evil,Male,22,Average,An enigmatic wanderer seeking knowledge and truth
Lorne Flanigan,Alchemist,Tabaxi,4,Neutral Good,Male,58,Tall,A fearless explorer of uncharted lands
Annalee Files,Alchemist,Human,13,True Neutral,Female,72,Short,A charismatic diplomat bridging gaps between cultures
Valencia Boliver,Mage,Human,7,Chaotic Neutral,Female,73,Short,A natural-born leader with a commanding presence
Lamar Menci,Monk,Tiefling,12,Lawful Good,Male,94,Short,A fearless protector standing up against injustice
Ashly Mechic,Demon Hunter,Goliath,8,Lawful Evil,Female,72,Short,A charismatic diplomat bridging gaps between cultures
Monty Rennock,Samurai,Genasi,12,Chaotic Neutral,Male,76,Short,A talented musician who can captivate any audience
Sybyl Lombard,Mage,Dragonborn,3,Neutral Evil,Bigender,65,Short,A compassionate protector of the weak
Oby Dumpleton,Warlock,Genasi,11,Lawful Neutral,Male,25,Tall,A mysterious seer with visions of the future
Olly Haugh,Warlock,Dragonborn,11,Neutral Evil,Male,76,Tall,A wise advisor offering guidance and wisdom
Barbi Gonneau,Warlock,Yuan-Ti,12,Chaotic Good,Female,22,Tall,A mysterious figure shrouded in shadows
Dolph Antao,Rogue,Tortle,4,True Neutral,Male,46,Average,A patient teacher passing on their knowledge to others
Woody Pearlman,Priest,Tiefling,14,Chaotic Evil,Genderqueer,84,Short,A wise advisor offering guidance and wisdom
Donnamarie Faragan,Shaman,Elf,15,Lawful Neutral,Female,58,Tall,A fearless protector standing up against injustice
Lester Silcocks,Necromancer,Firbolg,5,Chaotic Evil,Male,73,Average,A fearless protector standing up against injustice
Lothaire Lackney,Alchemist,Tortle,8,Lawful Neutral,Agender,34,Short,An enigmatic wanderer seeking knowledge and truth
Rorie MacKimmie,Druid,Goblin,12,Neutral Good,Female,42,Average,A stoic guardian always ready to protect others
Ermengarde Wrankling,Ninja,Tortle,3,Chaotic Evil,Genderfluid,56,Tall,A wise mentor guiding others on their path
Rafaello Tidball,Death Knight,Kenku,8,Neutral Good,Male,12,Average,A curious scholar always hungry for new discoveries
Nelie Shuttleworth,Samurai,Halfling,6,Chaotic Good,Female,98,Short,A skilled engineer inventing groundbreaking technologies
Gwyn Dumbrall,Hunter,Halfling,7,True Neutral,Female,24,Tall,An intuitive empath who can understand others' emotions
Vanya Acutt,Priest,Kobold,13,True Neutral,Female,98,Short,A fearless protector standing up against injustice
Maddalena Lyons,Monk,Triton,5,Chaotic Good,Female,71,Short,A free-spirited wanderer with an insatiable wanderlust
Dani Prestwich,Bard,Halfling,5,Chaotic Good,Male,36,Short,A quick-thinking problem solver with a logical mind
Torin Chrstine,Rogue,Triton,2,Neutral Evil,Male,16,Tall,A fearless warrior always ready for battle
Tobin Stannard,Priest,Goblin,10,Lawful Evil,Male,20,Average,A stoic guardian always ready to protect others
Kelcie McMackin,Hunter,Dragonborn,3,Chaotic Good,Agender,40,Average,An intuitive empath who can understand others' emotions
Elga Matchell,Sorcerer,Triton,6,True Neutral,Female,61,Tall,A skilled warrior with a heart of gold
Shanie Askie,Warrior,Dragonborn,1,Chaotic Good,Female,94,Short,A charismatic storyteller with a captivating voice
Corri Drinan,Mage,Aasimar,10,Chaotic Evil,Female,57,Tall,A quick-thinking problem solver with a logical mind
Jeffrey Malkie,Hunter,Aasimar,12,Neutral Good,Male,90,Tall,A curious explorer uncovering ancient secrets
Carole Fozard,Sorcerer,Tabaxi,15,Neutral Evil,Female,13,Short,A resourceful survivor thriving in harsh environments
Reinhard McDougle,Warrior,Halfling,9,Chaotic Neutral,Genderqueer,12,Short,A cunning detective solving mysteries with ease
Clare McClenan,Samurai,Orc,9,Chaotic Good,Female,48,Short,A cunning linguist with nimble fingers
Lydie Dominik,Monk,Dragonborn,7,Lawful Good,Female,27,Short,A charismatic leader with a silver tongue
Eirena Fishe,Necromancer,Firbolg,15,Chaotic Good,Female,79,Tall,A compassionate protector of the weak
Farra Wais,Samurai,Triton,7,Neutral Evil,Female,12,Tall,A skilled tracker with an uncanny ability to find anything
Chip Fullom,Rogue,Genasi,1,Chaotic Evil,Male,71,Average,A compassionate healer with a gentle touch
Lela Glasser,Paladin,Tiefling,11,Chaotic Neutral,Genderqueer,72,Tall,A cunning detective solving mysteries with ease
Talia Paulino,Ninja,Halfling,10,Neutral Evil,Agender,70,Average,A compassionate healer with a gentle touch
Tina Cawthra,Alchemist,Firbolg,12,Chaotic Good,Female,11,Tall,A charismatic diplomat bridging gaps between cultures
Jeffrey Tuxill,Mage,Gnome,5,Neutral Good,Male,23,Short,A charismatic leader with a silver tongue
Nikolaos Picker,Bard,Genasi,10,Chaotic Evil,Male,24,Average,A compassionate listener always ready to lend an ear
Reese Smardon,Shaman,Goliath,9,Neutral Evil,Male,79,Average,A brave adventurer with a mysterious past
Patrice Malcher,Druid,Orc,14,Chaotic Good,Female,69,Short,A wise sage with ancient knowledge
Lucina Stidston,Monk,Yuan-Ti,3,True Neutral,Female,55,Tall,A cunning strategist with a mischievous smile
Jarret Tourmell,Hunter,Tabaxi,11,True Neutral,Male,28,Short,A charismatic storyteller with a captivating voice
Yolanthe Cantrell,Necromancer,Genasi,3,Lawful Neutral,Female,51,Tall,A free-spirited wanderer with an insatiable wanderlust
Alison Ruddle,Mage,Triton,8,Lawful Neutral,Polygender,24,Average,A skilled navigator guiding others through treacherous terrain
Dacy Blennerhassett,Demon Hunter,Halfling,13,Neutral Good,Female,64,Average,A natural-born leader with a commanding presence
Zacharia Donohoe,Thief,Dwarf,10,True Neutral,Male,38,Tall,A resourceful survivor thriving in harsh environments
Mikael Nasi,Shaman,Goliath,9,Lawful Good,Bigender,75,Tall,A skilled warrior with a heart of gold
Sabrina Nussii,Rogue,Aasimar,5,True Neutral,Female,50,Tall,A brave adventurer with a mysterious past
Reggie Fendlow,Mage,Goliath,11,Chaotic Good,Male,69,Tall,A skilled engineer inventing groundbreaking technologies
Noel Bounds,Thief,Goblin,11,Neutral Evil,Male,90,Tall,A compassionate protector of the weak
Sada Devanny,Warlock,Dwarf,4,Chaotic Good,Female,86,Tall,A skilled warrior with a heart of gold
Cosetta Denerley,Alchemist,Dragonborn,14,Lawful Evil,Female,91,Short,A wise philosopher pondering the mysteries of life
Wendell Barnsdale,Samurai,Tortle,15,Chaotic Neutral,Male,49,Average,A skilled craftsman with a talent for creating masterpieces
Charla Bunhill,Priest,Tortle,1,Chaotic Evil,Female,64,Average,A free-spirited wanderer with an insatiable wanderlust
Claudius Simoncelli,Priest,Gnome,6,Chaotic Good,Male,57,Tall,A gentle soul with a deep connection to nature
Annora Carnie,Necromancer,Dwarf,7,Chaotic Good,Female,88,Tall,A patient teacher passing on their knowledge to others
Jerome Giorgioni,Warlock,Warforged,13,Neutral Evil,Male,79,Average,A skilled navigator guiding others through treacherous terrain
Noland Fenech,Mage,Triton,1,True Neutral,Male,42,Tall,A charismatic storyteller with a captivating voice
Solomon Yakov,Warlock,Tortle,3,Lawful Good,Male,12,Short,A curious explorer uncovering ancient secrets
Adore Mitskevich,Warlock,Genasi,13,Chaotic Neutral,Female,64,Tall,A compassionate healer with a gentle touch
Amberly Winslett,Sorcerer,Firbolg,12,Neutral Good,Non-binary,61,Short,A skilled tracker with an uncanny ability to find anything
Liza Bramble,Necromancer,Goblin,13,Neutral Evil,Female,64,Tall,A quick-thinking problem solver with a logical mind
Tresa Millott,Priest,Yuan-Ti,1,Lawful Neutral,Female,14,Tall,A talented musician who can captivate any audience
Conrado O'Logan,Sorcerer,Gnome,11,Lawful Good,Male,60,Tall,A compassionate listener always ready to lend an ear
Garrett Bunn,Priest,Yuan-Ti,15,Chaotic Good,Male,37,Short,A mysterious figure shrouded in shadows
Selestina Arbor,Sorcerer,Goblin,11,Lawful Good,Non-binary,75,Tall,An enigmatic wanderer seeking knowledge and truth
Verina Coltart,Samurai,Human,1,Chaotic Neutral,Genderfluid,69,Short,A cunning linguist with nimble fingers
Sunny Burnsyde,Alchemist,Firbolg,8,Lawful Neutral,Male,16,Short,A master of disguise with a talent for blending in
Brett Borris,Engineer,Tiefling,3,Chaotic Good,Male,90,Average,A wise sage with ancient knowledge
Sharlene Schooley,Samurai,Human,1,Chaotic Neutral,Bigender,32,Tall,A compassionate listener always ready to lend an ear
Goddard Penley,Shaman,Triton,15,Lawful Good,Male,61,Short,A master of disguise with a talent for blending in
Ranique Gatcliff,Alchemist,Elf,8,Lawful Good,Female,75,Average,A curious explorer uncovering ancient secrets
Evin Lawee,Hunter,Tortle,14,Lawful Good,Male,29,Tall,A quick-footed acrobat with incredible agility
Barby Willmett,Thief,Kobold,11,Chaotic Good,Genderqueer,23,Tall,A gentle healer mending both body and soul
Birk Venney,Ninja,Yuan-Ti,5,Lawful Evil,Male,16,Average,A quick-witted trickster with a clever mind
Bail Kolakovic,Hunter,Genasi,8,Lawful Neutral,Male,35,Average,A resourceful problem solver with a keen eye
Tobe Cammiemile,Ninja,Dragonborn,5,Neutral Evil,Male,46,Short,A fearless protector standing up against injustice
Knox Veryan,Priest,Goblin,3,Neutral Good,Male,79,Tall,A quick-thinking problem solver with a sharp intellect
Trish Wherrett,Shaman,Halfling,10,Chaotic Evil,Female,71,Tall,A compassionate healer with a gentle touch
Letizia Peyes,Necromancer,Elf,3,Neutral Good,Female,92,Short,A skilled magician performing awe-inspiring tricks
Port Pancast,Demon Hunter,Goblin,11,Lawful Good,Male,94,Tall,A charismatic leader with a silver tongue
Nathanael Yakobowitz,Bard,Tiefling,4,Neutral Evil,Male,71,Average,A fearless protector standing up against injustice
Fredelia Degli Abbati,Bard,Human,11,Chaotic Good,Female,82,Tall,A mysterious figure shrouded in shadows
Catlaina Kleinhaus,Engineer,Human,3,True Neutral,Bigender,23,Short,A talented musician who can captivate any audience
Borden Fairhead,Samurai,Aasimar,5,Neutral Evil,Male,82,Average,A master of disguise with a talent for blending in
Amil Dominey,Mage,Yuan-Ti,3,Lawful Evil,Female,53,Short,A skilled craftsman with a talent for creating masterpieces
Linnet Thompkins,Paladin,Aasimar,9,Chaotic Neutral,Polygender,70,Short,A quick-footed acrobat with incredible agility
Engelbert Shropshire,Bard,Gnome,11,Neutral Evil,Non-binary,33,Tall,A talented musician who can captivate any audience
Desmund Harbottle,Mage,Goliath,9,Chaotic Neutral,Male,25,Tall,A fearless protector standing up against injustice
Ondrea Onele,Paladin,Dwarf,15,Chaotic Good,Female,32,Short,A skilled navigator guiding others through treacherous terrain
Diana Connechie,Alchemist,Warforged,8,Chaotic Neutral,Female,94,Average,A quick-thinking problem solver with a sharp intellect
Dawn Brimilcombe,Sorcerer,Aasimar,7,Neutral Good,Female,14,Short,A compassionate protector of the weak
Dedra Dives,Bard,Tiefling,3,Neutral Evil,Female,52,Average,A cunning linguist with nimble fingers
Kitty Brannon,Priest,Goblin,9,Chaotic Evil,Female,69,Tall,A gentle soul with a deep connection to nature
Korella Thorby,Warrior,Elf,1,Lawful Neutral,Female,23,Average,A brave adventurer with a mysterious past
Erik Gristwood,Death Knight,Aasimar,10,Chaotic Neutral,Male,35,Average,A natural-born leader with a commanding presence
Petunia Lisciandro,Thief,Kobold,4,Lawful Good,Female,44,Tall,A relentless seeker of justice and truth
Alaster Pochet,Mage,Elf,10,Chaotic Neutral,Male,28,Short,A skilled tracker with an uncanny ability to find anything
Belvia Bartolomeotti,Druid,Kobold,13,Neutral Evil,Female,61,Average,A natural-born leader with a commanding presence
Lazaro Dolden,Monk,Tabaxi,14,True Neutral,Male,75,Tall,A charismatic storyteller with a captivating voice
Mattie Ikin,Rogue,Firbolg,11,Chaotic Evil,Female,71,Average,A creative artist with a unique vision
Suzie Wicken,Mage,Dwarf,2,Chaotic Evil,Female,45,Average,A mysterious seer with visions of the future
Fidel Carillo,Paladin,Dwarf,2,Chaotic Evil,Male,17,Short,A master of disguise with a talent for blending in
Brittne Mitro,Alchemist,Goliath,13,Lawful Evil,Agender,17,Tall,A wise sage with ancient knowledge
Dannel Bowling,Paladin,Dragonborn,11,Chaotic Neutral,Non-binary,74,Short,A skilled engineer inventing groundbreaking technologies
Kelbee Leader,Demon Hunter,Triton,12,Chaotic Good,Male,38,Average,A skilled craftsman with a talent for creating masterpieces
Blayne Izak,Hunter,Halfling,12,Chaotic Neutral,Male,89,Tall,A curious scholar always hungry for new discoveries
Colver Goatman,Demon Hunter,Dragonborn,9,Neutral Evil,Male,63,Tall,A skilled archer with unmatched precision
Candide Andrat,Demon Hunter,Yuan-Ti,15,Lawful Neutral,Female,75,Short,A compassionate protector of the weak
Marvin Guinn,Death Knight,Orc,4,Neutral Evil,Male,42,Average,A quick-witted trickster with a clever mind
Audy Vardon,Monk,Tortle,7,Neutral Evil,Female,25,Average,A quick-footed acrobat with incredible agility
Delphinia Daft,Druid,Genasi,6,Lawful Good,Female,10,Tall,A talented musician who can captivate any audience
Elysee Ayris,Engineer,Tiefling,10,Neutral Good,Female,42,Short,A resourceful survivor thriving in harsh environments
Lamont Hammerberger,Ninja,Tabaxi,7,Neutral Evil,Male,61,Short,A natural-born leader with a commanding presence
Wendie Hawkswell,Paladin,Human,15,Lawful Good,Female,19,Average,A skilled engineer inventing groundbreaking technologies
Elset Queyeiro,Necromancer,Tortle,13,Neutral Evil,Female,70,Average,A compassionate listener always ready to lend an ear
Marmaduke Curwen,Warrior,Elf,5,Lawful Neutral,Male,100,Tall,A stoic guardian always ready to protect others
Dukie Hatley,Monk,Tortle,14,Lawful Evil,Male,49,Tall,A mysterious seer with visions of the future
Jimmy Bollen,Engineer,Dwarf,3,Chaotic Neutral,Male,34,Average,A fearless warrior always ready for battle
Tim Welbrock,Thief,Warforged,5,Lawful Neutral,Female,47,Short,A wise sage with ancient knowledge
Hurlee Lancett,Alchemist,Elf,8,Lawful Neutral,Male,64,Average,A compassionate healer with a gentle touch
Walden Weald,Shaman,Human,8,Chaotic Good,Male,95,Short,A skilled magician performing awe-inspiring tricks
